Award Date,Grant Number,Proposal Number,Grant Title,State Name,Grantee Name,Award Dollars,Program Name,Program Area Name
2010-09-30,2010-48679-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,7495,N/A,N/A
2009-09-30,2009-48679-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,6813,N/A,N/A
2008-09-30,2008-48679-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,8524,N/A,N/A
2003-09-30,2003-48604-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,1097,N/A,N/A
2010-09-30,2010-48024-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,11997,N/A,N/A
2009-09-30,2009-48024-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,14990,N/A,N/A
2008-09-30,2008-48024-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,13765,N/A,N/A
2007-09-30,2007-48024-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,13765,N/A,N/A
2006-09-30,2006-48024-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,13913,N/A,N/A
2005-09-30,2005-48024-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,14082,N/A,N/A
2004-09-30,2004-48024-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,14082,N/A,N/A
2003-09-30,2003-48024-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,11248,N/A,N/A
2002-09-30,2002-48024-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,21544,N/A,N/A
2024-02-16,NI24RREAFXXXG033,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,20897,Renewable Resources Extension Act,Other Programs
2022-11-22,NI23RREAFXXXG055,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,52242,Renewable Resources Extension Act,Other Programs
2021-12-02,NI22RREAFXXXG008,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,52242,Renewable Resources Extension Act,Other Programs
2020-12-22,NI21RREAFXXXG017,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,52242,Renewable Resources Extension Act,Other Programs
2020-05-18,NI20RREAFXXXG069,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,52242,Renewable Resources Extension Act,Other Programs
2019-02-19,NI19RREAFXXXG028,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,52242,Renewable Resources Extension Act,Other Programs
2018-02-12,NI18RREAFXXXG014,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,52242,Renewable Resources Extension Act,Other Programs
2017-06-05,NI17RREAFXXXG018,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,52242,Renewable Resources Extension Act,Other Programs
2010-09-30,2010-46000-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,54191,N/A,N/A
2009-09-30,2009-46000-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,54148,N/A,N/A
2008-09-30,2008-46000-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,54146,N/A,N/A
2007-09-30,2007-46000-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,54214,N/A,N/A
2006-09-30,2006-46000-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,53952,N/A,N/A
2005-09-30,2005-46000-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,54498,N/A,N/A
2004-09-30,2004-46000-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,54498,N/A,N/A
2003-09-30,2003-46000-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,60775,N/A,N/A
2002-09-30,2002-46000-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,56332,N/A,N/A
2004-09-30,2004-41540-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,13732,N/A,N/A
2003-09-30,2003-41540-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,20000,N/A,N/A
2002-09-30,2002-41540-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,20000,N/A,N/A
2008-09-30,2008-41531-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,100408,N/A,N/A
2007-09-30,2007-41531-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,100408,N/A,N/A
2006-09-30,2006-41531-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,100408,N/A,N/A
2005-09-30,2005-41531-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,101156,N/A,N/A
2004-09-30,2004-41531-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,96671,N/A,N/A
2003-09-30,2003-41531-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,110823,N/A,N/A
2002-09-30,2002-41531-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,111702,N/A,N/A
2024-02-21,NI24EFNEPXXXG059,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,158390,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2022-11-22,NI23EFNEPXXXG064,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,395975,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2021-11-22,NI22EFNEPXXXG062,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,397104,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2020-12-09,NI21EFNEPXXXG025,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,397104,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2020-04-07,NI20EFNEPXXXG008,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,397104,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2019-03-05,NI19EFNEPXXXG049,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,392863,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2018-01-17,NI18EFNEPXXXG021,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,388341,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2017-06-16,NI17EFNEPXXXG022,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,387546,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2010-09-30,2010-41510-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,386198,N/A,N/A
2009-09-30,2009-41510-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,379026,N/A,N/A
2008-09-30,2008-41510-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,308073,N/A,N/A
2007-09-30,2007-41510-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,300287,N/A,N/A
2006-09-30,2006-41510-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,300496,N/A,N/A
2005-09-30,2005-41510-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,280045,N/A,N/A
2004-09-30,2004-41510-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,250729,N/A,N/A
2003-09-30,2003-41510-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,278639,N/A,N/A
2002-09-30,2002-41510-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,281789,N/A,N/A
2003-09-30,2003-41400-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,80620,N/A,N/A
2002-09-30,2002-41400-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,36912,N/A,N/A
2010-09-30,2010-41310-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,52949,N/A,N/A
2009-09-30,2009-41310-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,60479,N/A,N/A
2008-09-30,2008-41310-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,69087,N/A,N/A
2007-09-30,2007-41310-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,75321,N/A,N/A
2006-09-30,2006-41310-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,68971,N/A,N/A
2005-09-30,2005-41310-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,71457,N/A,N/A
2004-09-30,2004-41310-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,66932,N/A,N/A
2003-09-30,2003-41310-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,65885,N/A,N/A
2002-09-30,2002-41310-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,72342,N/A,N/A
2010-09-30,2010-41300-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,32420,N/A,N/A
2009-09-30,2009-41300-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,35633,N/A,N/A
2008-09-30,2008-41300-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,43367,N/A,N/A
2007-09-30,2007-41300-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,57332,N/A,N/A
2006-09-30,2006-41300-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,64269,N/A,N/A
2005-09-30,2005-41300-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,113945,N/A,N/A
2004-09-30,2004-41300-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,91862,N/A,N/A
2003-09-30,2003-41300-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,99691,N/A,N/A
2002-09-30,2002-41300-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,121991,N/A,N/A
2024-02-20,NI24SLSNXXXXG005,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,30111,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2022-11-23,NI23SLSNXXXXG013,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,74412,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2021-11-22,NI22SLSNXXXXG013,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,74412,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2020-12-08,NI21SLSNXXXXG008,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,74412,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2020-04-30,NI20SLSNXXXXG011,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,74412,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2019-02-19,NI19SLSNXXXXG016,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,74412,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2018-03-15,NI18SLSNXXXXG011,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,74412,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2017-06-02,NI17SLSNXXXXG011,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,74412,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2010-09-30,2010-41200-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,74412,N/A,N/A
2009-09-30,2009-41200-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,74412,N/A,N/A
2008-09-30,2008-41200-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,74412,N/A,N/A
2007-09-30,2007-41200-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,74412,N/A,N/A
2006-09-30,2006-41200-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,74412,N/A,N/A
2005-09-30,2005-41200-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,74862,N/A,N/A
2004-09-30,2004-41200-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,75018,N/A,N/A
2003-09-30,2003-41200-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,75018,N/A,N/A
2002-09-30,2002-41200-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,75018,N/A,N/A
2024-02-20,NI24SLBCXXXXG014,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,1235134,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2022-11-23,NI23SLBCXXXXG039,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,3088177,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2021-11-26,NI22SLBCXXXXG023,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,3017159,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2020-12-09,NI21SLBCXXXXG002,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,2969058,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2020-05-14,NI20SLBCXXXXG029,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,2976476,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2019-02-19,NI19SLBCXXXXG032,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,2981839,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2018-03-16,NI18SLBCXXXXG011,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,2825848,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2017-06-02,NI17SLBCXXXXG044,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,2858451,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2010-09-30,2010-41100-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,2734597,N/A,N/A
2009-09-30,2009-41100-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,2613303,N/A,N/A
2008-09-30,2008-41100-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,2436970,N/A,N/A
2007-09-30,2007-41100-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,2537000,N/A,N/A
2006-09-30,2006-41100-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,2379396,N/A,N/A
2005-09-30,2005-41100-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,2405658,N/A,N/A
2004-09-30,2004-41100-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,2428561,N/A,N/A
2003-09-30,2003-41100-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,2268063,N/A,N/A
2002-09-30,2002-41100-01200,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,2235091,N/A,N/A
2024-02-20,NI24AHDRXXXXG001,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,22818,Animal Health and Disease Research Program,Animal Health Formula Program
2022-11-25,NI23AHDRXXXXG013,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,57045,Animal Health and Disease Research Program,Animal Health Formula Program
2021-12-06,NI22AHDRXXXXG045,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,57492,Animal Health and Disease Research Program,Animal Health Formula Program
2021-04-08,NI21AHDRXXXXG027,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,57002,Animal Health and Disease Research Program,Animal Health Formula Program
2020-09-03,NI20AHDRXXXXG056,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,52949,Animal Health and Disease Research Program,Animal Health Formula Program
2019-08-12,NI19AHDRXXXXG012,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,57114,Animal Health and Disease Research Program,Animal Health Formula Program
2018-09-05,NI18AHDRXXXXG005,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,54828,Animal Health and Disease Research Program,Animal Health Formula Program
2017-09-13,NI17AHDRXXXXG059,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,55404,Animal Health and Disease Research Program,Animal Health Formula Program
2010-09-30,2010-36100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,40715,N/A,N/A
2009-09-30,2009-36100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,38347,N/A,N/A
2008-09-30,2008-36100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,67093,N/A,N/A
2007-09-30,2007-36100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,62714,N/A,N/A
2006-09-30,2006-36100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,65129,N/A,N/A
2005-09-30,2005-36100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,58382,N/A,N/A
2004-09-30,2004-36100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,48370,N/A,N/A
2003-09-30,2003-36100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,52259,N/A,N/A
2002-09-30,2002-36100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,52199,N/A,N/A
2024-02-13,NI24MSCFRXXXG032,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,315480,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2022-11-23,NI23MSCFRXXXG046,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,788699,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2021-12-01,NI22MSCFRXXXG041,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,706699,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2020-12-28,NI21MSCFRXXXG050,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,660511,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2020-05-21,NI20MSCFRXXXG031,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,658798,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2019-03-07,NI19MSCFRXXXG028,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,638984,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2018-04-02,NI18MSCFRXXXG062,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,619405,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2017-03-27,NI17MSCFRXXXG008,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,617865,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2010-09-30,2010-32100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,586227,N/A,N/A
2009-09-30,2009-32100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,538353,N/A,N/A
2008-09-30,2008-32100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,484563,N/A,N/A
2007-09-30,2007-32100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,589306,N/A,N/A
2006-09-30,2006-32100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,429329,N/A,N/A
2005-09-30,2005-32100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,450338,N/A,N/A
2004-09-30,2004-32100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,428007,N/A,N/A
2003-09-30,2003-32100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,441987,N/A,N/A
2002-09-30,2002-32100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,469808,N/A,N/A
2024-02-20,NI24HMFPXXXXG017,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,345368,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2022-11-23,NI23HMFPXXXXG053,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,863421,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2021-11-22,NI22HMFPXXXXG017,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,874478,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2020-12-10,NI21HMFPXXXXG033,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,854436,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2020-05-13,NI20HMFPXXXXG031,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,842868,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2019-02-19,NI19HMFPXXXXG056,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,874060,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2018-02-01,NI18HMFPXXXXG028,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,816125,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2017-06-02,NI17HMFPXXXXG035,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,805979,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2010-09-30,2010-31200-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,694166,N/A,N/A
2009-09-30,2009-31200-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,672270,N/A,N/A
2008-09-30,2008-31200-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,629720,N/A,N/A
2007-09-30,2007-31200-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,1126341,N/A,N/A
2006-09-30,2006-31200-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,572934,N/A,N/A
2005-09-30,2005-31200-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,582240,N/A,N/A
2004-09-30,2004-31200-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,584551,N/A,N/A
2003-09-30,2003-31200-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,584094,N/A,N/A
2002-09-30,2002-31200-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,589420,N/A,N/A
2024-02-21,NI24HFPXXXXXG005,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,815258,Hatch Act of 1887,Hatch Formula Programs
2022-11-22,NI23HFPXXXXXG047,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,2044775,Hatch Act of 1887,Hatch Formula Programs
2021-12-06,NI22HFPXXXXXG031,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,2024968,Hatch Act of 1887,Hatch Formula Programs
2020-12-16,NI21HFPXXXXXG041,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,2023814,Hatch Act of 1887,Hatch Formula Programs
2020-04-22,NI20HFPXXXXXG030,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,2030954,Hatch Act of 1887,Hatch Formula Programs
2019-02-07,NI19HFPXXXXXG020,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,2038094,Hatch Act of 1887,Hatch Formula Programs
2018-03-01,NI18HFPXXXXXG032,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,1918346,Hatch Act of 1887,Hatch Formula Programs
2017-06-02,NI17HFPXXXXXG031,N/A,N/A,IDAHO,UNIVERSITY OF IDAHO,1916907,Hatch Act of 1887,Hatch Formula Programs
2010-09-30,2010-31100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,1729220,N/A,N/A
2009-09-30,2009-31100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,1666050,N/A,N/A
2008-09-30,2008-31100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,1566214,N/A,N/A
2007-09-30,2007-31100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,2644666,N/A,N/A
2006-09-30,2006-31100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,1397853,N/A,N/A
2005-09-30,2005-31100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,1411792,N/A,N/A
2004-09-30,2004-31100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,1415204,N/A,N/A
2003-09-30,2003-31100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,1414159,N/A,N/A
2002-09-30,2002-31100-06016,N/A,N/A,IDAHO,SAES - UNIVERSITY OF IDAHO,1428785,N/A,N/A
2001-11-05,2002-35208-11552,2001-00664,Purchase of a Delta + Elemental Mass Spectrometer Interfaced With a Carbon/Nitrogen/Sulfur Analyzer,IDAHO,UNIVERSITY OF IDAHO,49923,Equipment Grants,National Research Initiative Competitive Grants Program
2001-12-18,2002-35311-11654,2001-00770,"Critical Interference Period of Hairy Nightshade, Solanum sarrachoides, in Potato, Solanum tuberosum",IDAHO,SAES - UNIVERSITY OF IDAHO,74500,Seed Grants,National Research Initiative Competitive Grants Program
2001-10-16,2001-35107-11008,2001-01203,Enhancing Establishment and Proliferation of Fungal Soil Inocula,IDAHO,SAES - UNIVERSITY OF IDAHO,171131,Soil Processes,National Research Initiative Competitive Grants Program
2001-11-15,2002-35400-11693,2001-01796,"Specific Factor, Endogenous Policy Formations, and Free Trade Analysis of Sugar Market",IDAHO,SAES - UNIVERSITY OF IDAHO,132544,Agribusiness Markets and Trade,National Research Initiative Competitive Grants Program
2001-12-18,2002-35206-11666,2001-03316,Improving the Efficiency of Ruminal Ammonia Nitrogen Utilization for Milk Protein Synthesis and Reducing Nitrogen Losses in Dairy Cows,IDAHO,SAES - UNIVERSITY OF IDAHO,169146,Animal Growth and Nutrient Utilization,National Research Initiative Competitive Grants Program
2002-03-22,2002-41580-01325,2002-00472,USDA-ES Fort Hall Agricultural Agent,IDAHO,UNIVERSITY OF IDAHO,70211,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2002-04-04,2002-41580-01336,2002-00488,USDA-CSREES Coeur d'Alene Reservation Extension Educator,IDAHO,UNIVERSITY OF IDAHO,56577,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2002-06-26,2002-35100-12076,2002-00904,Broadening Genetic Base and Development of High Yielding Multiple-Stress Tolerant Common Bean Cultivars,IDAHO,UNIVERSITY OF IDAHO,20078,Agricultural Plants and Environmental Adaptation,National Research Initiative Competitive Grants Program
2002-05-02,2001-41520-01126,2002-00961,Developing Workforce Preparation and Leadership Skills Through Technology,IDAHO,UNIVERSITY OF IDAHO,150000,Youth at Risk,"Smith-Lever 3B, 3C, and 3D Programs"
